statenum,casenum,vnumber,pnumber,atmcond,acctime,dayofweek,holiday,numfatal,speeding,age,alcres,drugres3,sex,vfatcount,commlic,dricondatcrashtime,malcohol,dridistract,drivisobs
48,3121,1,1,10,1915,6,9,1,0,60,3,0,2,1,0,9,1,0,0
12,2575,1,1,1,1805,7,9,1,0,59,190,0,1,1,0,99,1,99,0
12,2700,1,2,1,1810,5,9,1,0,59,996,0,2,0,0,0,0,0,0
47,891,1,1,1,1701,7,9,1,0,59,996,0,2,1,0,99,0,0,0
48,3085,2,2,10,1000,6,9,1,0,59,996,0,1,0,0,0,0,0,0
5,477,1,1,10,1835,7,9,1,0,58,0,0,2,0,0,0,0,0,0
6,2850,1,1,1,1132,7,9,1,0,58,0,0,1,1,0,9,0,0,0
13,1308,1,1,10,2132,6,9,1,0,58,996,0,1,0,0,0,0,0,0
22,631,1,1,2,1840,1,9,1,1,58,0,0,1,1,6,99,0,99,0
45,901,2,1,5,2315,7,9,1,0,58,996,0,1,1,5,0,0,0,0
47,883,2,1,5,619,1,9,1,0,58,996,0,2,0,0,0,0,0,0
8,502,2,1,1,1509,7,9,1,1,57,32,0,1,1,0,0,1,0,0
12,2660,2,1,1,1906,1,9,1,0,57,224,0,1,1,0,9,1,0,0
35,271,3,2,4,1647,7,9,2,1,57,996,0,2,1,0,0,0,0,0
48,3092,2,1,1,2156,7,9,1,0,57,997,0,1,0,6,0,0,0,0
48,3160,2,1,1,1742,6,9,1,0,57,996,0,1,0,0,0,0,0,0
6,3130,2,1,1,1658,6,9,1,0,56,996,0,2,1,0,0,0,0,0
12,2577,2,2,10,1036,1,9,1,0,56,996,0,2,0,0,0,0,0,0
13,1315,1,1,1,55,1,9,1,0,56,996,0,1,1,0,99,0,99,0
38,116,1,1,4,1845,5,9,1,1,56,95,0,1,1,0,99,1,0,0
42,644,1,1,1,2053,5,9,1,0,56,996,0,1,0,0,99,0,0,0
47,891,2,2,1,1701,7,9,1,0,56,996,0,2,0,0,0,0,0,0
51,710,1,1,5,333,1,9,1,0,56,996,0,1,1,0,2,1,98,98
12,2577,1,1,10,1036,1,9,1,0,55,0,0,1,1,0,0,0,0,0
13,1335,2,1,2,2111,5,9,1,1,55,996,0,2,0,0,0,0,0,0
24,440,1,1,2,1936,1,9,1,1,55,80,0,1,1,0,99,1,99,0
34,498,1,1,10,1838,7,9,1,0,55,0,0,2,0,0,0,0,0,0
34,527,3,2,10,1959,5,9,1,0,55,996,0,1,0,0,0,0,0,0
37,1283,2,1,1,1922,6,9,1,0,55,996,0,1,0,0,0,0,0,0
48,3093,1,1,1,5,7,9,1,0,55,996,0,1,0,0,0,0,0,0
48,3163,2,1,1,725,7,9,1,0,55,996,0,1,0,6,0,0,0,0
48,3164,1,7,2,515,1,9,1,0,55,996,0,1,1,0,0,0,0,0
51,671,1,1,1,2310,5,9,1,0,55,996,0,1,1,0,99,1,96,0
12,2631,1,1,1,2240,5,9,1,0,54,110,0,1,1,0,0,1,99,0
13,1316,1,1,99,2200,1,9,1,0,54,996,0,1,1,0,99,0,99,99
24,457,1,1,10,1811,1,9,1,0,54,996,0,1,0,0,0,0,99,0
25,210,1,1,10,1831,5,9,1,0,54,200,0,1,1,0,98,1,99,0
26,910,2,2,1,1803,5,9,1,0,54,996,0,1,0,0,0,0,0,0
37,1222,1,1,1,2255,6,9,1,0,54,0,0,1,1,0,99,0,0,0
41,412,1,1,98,1508,7,9,1,0,54,112,0,1,1,0,98,1,96,0
48,3085,1,1,10,1000,6,9,1,0,54,0,0,1,1,6,0,0,0,0
48,3125,4,1,2,1509,1,9,2,1,54,996,0,2,0,0,0,0,0,0
1,705,1,1,10,1246,1,9,1,1,53,0,0,1,1,5,99,0,99,0
6,3130,1,1,1,1658,6,9,1,0,53,0,0,1,0,0,9,0,96,0
12,2606,3,1,10,1832,7,9,1,1,53,996,0,1,0,0,0,0,0,0
24,450,1,1,1,1554,7,9,1,0,53,0,0,1,0,0,9,0,99,0
28,566,2,1,1,1834,7,9,2,0,53,996,0,1,0,0,0,0,96,0
34,505,2,1,10,1916,5,9,1,0,53,996,0,1,0,0,0,0,0,0
42,612,2,1,2,222,1,9,1,0,53,999,0,1,1,6,0,0,0,0
42,770,2,1,2,1104,1,9,1,1,53,996,0,1,0,0,0,0,0,0
47,873,1,1,2,1315,6,9,2,0,53,0,0,1,2,0,0,1,0,0
47,873,1,2,2,1315,6,9,2,0,53,996,0,2,2,0,0,1,0,0
48,3164,1,9,2,515,1,9,1,0,53,996,0,1,1,0,0,0,0,0
6,2387,1,1,1,1227,7,9,1,0,52,100,0,1,1,0,99,1,0,0
8,502,1,1,1,1509,7,9,1,1,52,996,0,1,0,99,0,0,96,0
9,182,1,2,1,1425,6,9,1,0,52,11,605,2,1,0,99,0,96,0
12,2755,1,1,10,941,7,9,1,0,52,995,0,1,1,0,0,0,0,0
6,2772,2,1,1,515,7,9,1,0,51,1,0,1,1,6,0,1,0,0
6,3005,1,1,1,339,2,9,1,0,51,996,0,1,0,6,0,0,0,0
41,368,1,2,1,1715,7,9,1,0,51,0,0,1,1,0,99,0,96,0
45,895,1,1,5,53,6,9,1,0,51,173,0,2,1,0,9,1,0,0
48,3083,1,1,10,1949,6,9,1,0,51,996,0,1,0,0,0,0,0,0
6,2768,2,1,1,155,2,9,2,1,50,23,0,1,1,0,99,1,99,0
26,870,1,1,1,2234,6,9,1,0,50,996,0,1,0,0,99,0,0,0
26,870,1,2,1,2234,6,9,1,0,50,996,0,2,0,0,99,0,0,0
37,1246,2,2,10,1248,7,9,1,0,50,0,0,2,1,0,0,0,0,0
39,1003,1,1,2,1752,7,9,1,0,50,0,0,1,0,0,0,0,0,0
41,368,1,1,1,1715,7,9,1,0,50,996,0,2,1,0,99,0,96,0
